LocationID,borough,zone,lat,lon
4,Manhattan,Alphabet City,40.72375208451233,-73.97696827424141
12,Manhattan,Battery Park,40.70294582144012,-74.01556349991374
13,Manhattan,Battery Park City,40.712037924667264,-74.01607927269924
24,Manhattan,Bloomingdale,40.80197051563419,-73.96547935663406
41,Manhattan,Central Harlem,40.804333857858566,-73.95129204385638
42,Manhattan,Central Harlem North,40.8182572500734,-73.94077208625764
43,Manhattan,Central Park,40.78247701262984,-73.96555540550199
45,Manhattan,Chinatown,40.712459285136994,-73.99815145865519
48,Manhattan,Clinton East,40.76225259858687,-73.98984489812494
50,Manhattan,Clinton West,40.76623762332451,-73.99513534858681
68,Manhattan,East Chelsea,40.7484273300986,-73.99991779023728
74,Manhattan,East Harlem North,40.80116912880846,-73.9373456595586
75,Manhattan,East Harlem South,40.79001067629398,-73.94575022751276
79,Manhattan,East Village,40.727620122038296,-73.98593745737395
87,Manhattan,Financial District North,40.706808425516016,-74.00749595416085
88,Manhattan,Financial District South,40.703357880548445,-74.0115150281245
90,Manhattan,Flatiron,40.742278583312206,-73.99697147759031
100,Manhattan,Garment District,40.75351274051303,-73.98878660966813
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,40.68986010346147,-74.04528828347375
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,40.69876867282886,-74.04077078511479
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,40.68878421555262,-74.01907288309684
107,Manhattan,Gramercy,40.73682398302768,-73.98405214924436
113,Manhattan,Greenwich Village North,40.732579026253674,-73.9943047162786
114,Manhattan,Greenwich Village South,40.728340368316424,-73.9973801630823
116,Manhattan,Hamilton Heights,40.82701260635661,-73.94852183123933
120,Manhattan,Highbridge Park,40.8466669452917,-73.9301832301702
125,Manhattan,Hudson Sq,40.72629040399525,-74.0074858070925
127,Manhattan,Inwood,40.866074893138844,-73.9193084235328
128,Manhattan,Inwood Hill Park,40.872378832666904,-73.92436989163414
137,Manhattan,Kips Bay,40.74043892115907,-73.97649469938301
140,Manhattan,Lenox Hill East,40.76548395144242,-73.9547390603464
141,Manhattan,Lenox Hill West,40.76694805479654,-73.95963501136171
142,Manhattan,Lincoln Square East,40.773633196128905,-73.98153235360773
143,Manhattan,Lincoln Square West,40.77596514731965,-73.9876456908124
144,Manhattan,Little Italy/NoLiTa,40.72088884086806,-73.99691858884708
148,Manhattan,Lower East Side,40.718938301131104,-73.99089636602756
151,Manhattan,Manhattan Valley,40.79796198028393,-73.96816820440951
152,Manhattan,Manhattanville,40.81797510016547,-73.95378220824486
153,Manhattan,Marble Hill,40.875967791801536,-73.91037864632285
158,Manhattan,Meatpacking/West Village West,40.7350351831651,-74.00898419902498
161,Manhattan,Midtown Center,40.758027981780664,-73.97769803041939
162,Manhattan,Midtown East,40.75668753761735,-73.97235615813489
163,Manhattan,Midtown North,40.7644214387746,-73.97756856896713
164,Manhattan,Midtown South,40.74857453693654,-73.98515644835915
166,Manhattan,Morningside Heights,40.80945681703888,-73.96176369363279
170,Manhattan,Murray Hill,40.74774573203895,-73.97849158432054
186,Manhattan,Penn Station/Madison Sq West,40.74849716576957,-73.99243754419264
194,Manhattan,Randalls Island,40.79100048638123,-73.92459671825748
202,Manhattan,Roosevelt Island,40.761899335777855,-73.94995272044949
209,Manhattan,Seaport,40.70907271927832,-74.00366448904686
211,Manhattan,SoHo,40.723888072060404,-74.00153759512791
224,Manhattan,Stuy Town/Peter Cooper Village,40.73182059189006,-73.97659759721292
229,Manhattan,Sutton Place/Turtle Bay North,40.75672890813223,-73.96514581878095
230,Manhattan,Times Sq/Theatre District,40.759817566309465,-73.98419655675737
231,Manhattan,TriBeCa/Civic Center,40.71777262479923,-74.0078796687525
232,Manhattan,Two Bridges/Seward Park,40.71473247007343,-73.98302469110321
233,Manhattan,UN/Turtle Bay South,40.74991400028384,-73.97044261148469
234,Manhattan,Union Sq,40.74033737258096,-73.9904579133977
236,Manhattan,Upper East Side North,40.78043629001211,-73.95701192571859
237,Manhattan,Upper East Side South,40.76861505664575,-73.96563472764679
238,Manhattan,Upper West Side North,40.79170489453925,-73.9730488247599
239,Manhattan,Upper West Side South,40.78396140232239,-73.97863191501314
243,Manhattan,Washington Heights North,40.857108002782724,-73.93283170504228
244,Manhattan,Washington Heights South,40.84170843286746,-73.94139929841424
246,Manhattan,West Chelsea/Hudson Yards,40.75330875946255,-74.00401551098165
249,Manhattan,West Village,40.73457589628757,-74.00287502314927
261,Manhattan,World Trade Center,40.709138876288186,-74.01302283778836
262,Manhattan,Yorkville East,40.77593230221761,-73.94651047848446
263,Manhattan,Yorkville West,40.77876573980772,-73.9510100659439
